MsgID.GLOBAL_HOME,1522203207.5076575,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203207.5176592,-122.3974467,37.7924791,7.1230000
MsgID.LOCAL_VELOCITY,1522203207.5176592,-0.9900000,1.9500000,-4.5000000
MsgID.LOCAL_POSITION,1522203207.5546653,-0.1455003,0.5877327,-7.1260529
MsgID.LOCAL_VELOCITY,1522203207.5546653,-0.9943711,1.9559189,-4.5038118
MsgID.GLOBAL_POSITION,1522203207.7675865,-122.3974392,37.7924757,8.1950000
MsgID.LOCAL_VELOCITY,1522203207.7675865,-1.4300000,3.1600000,-4.6200000
MsgID.LOCAL_POSITION,1522203207.7681231,-0.5212128,1.2478670,-8.1980219
MsgID.LOCAL_VELOCITY,1522203207.7681231,-1.4311929,3.1649020,-4.6280951
MsgID.GLOBAL_POSITION,1522203208.0185232,-122.3974284,37.7924719,9.3850000
MsgID.LOCAL_VELOCITY,1522203208.0185232,-1.8600000,4.3900000,-4.7100000
MsgID.LOCAL_POSITION,1522203208.0191233,-0.9419534,2.2083139,-9.3854656
MsgID.LOCAL_VELOCITY,1522203208.0191233,-1.8600489,4.3906870,-4.7147150
MsgID.GLOBAL_POSITION,1522203208.2676890,-122.3974152,37.7924679,10.5310000
MsgID.LOCAL_VELOCITY,1522203208.2676890,-2.2500000,5.4500000,-4.7400000
MsgID.LOCAL_POSITION,1522203208.2681003,-1.3955911,3.3895946,-10.5336447
MsgID.LOCAL_VELOCITY,1522203208.2681003,-2.2552202,5.4556093,-4.7489257
MsgID.STATE,1522203208.5062823,True,True
MsgID.GLOBAL_HOME,1522203208.5082862,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203208.5469570,-122.3973991,37.7924636,11.5230000
MsgID.LOCAL_VELOCITY,1522203208.5469570,-2.2000000,5.3400000,-2.4700000
MsgID.LOCAL_POSITION,1522203208.5475135,-1.8661548,4.8194232,-11.5257463
MsgID.LOCAL_VELOCITY,1522203208.5475135,-2.2015135,5.3446903,-2.4684849
MsgID.GLOBAL_POSITION,1522203208.7682161,-122.3973836,37.7924576,11.8480000
MsgID.LOCAL_VELOCITY,1522203208.7682161,-2.0700000,5.0200000,0.0000000
MsgID.LOCAL_POSITION,1522203208.7686105,-2.5377655,6.1977239,-11.8481960
MsgID.LOCAL_VELOCITY,1522203208.7686105,-2.0712352,5.0284123,-0.0004639
MsgID.GLOBAL_POSITION,1522203209.0178092,-122.3973708,37.7924519,11.6040000
MsgID.LOCAL_VELOCITY,1522203209.0178092,-2.0700000,5.0700000,1.7400000
MsgID.LOCAL_POSITION,1522203209.0182626,-3.1733897,7.3338509,-11.6041107
MsgID.LOCAL_VELOCITY,1522203209.0182626,-2.0772491,5.0723715,1.7412101
MsgID.GLOBAL_POSITION,1522203209.2686744,-122.3973530,37.7924470,11.1140000
MsgID.LOCAL_VELOCITY,1522203209.2686744,-2.2900000,5.7900000,2.0600000
MsgID.LOCAL_POSITION,1522203209.2689724,-3.7150300,8.9119377,-11.1149950
MsgID.LOCAL_VELOCITY,1522203209.2689724,-2.2968419,5.7967978,2.0698011
MsgID.STATE,1522203209.5071723,True,True
MsgID.GLOBAL_HOME,1522203209.5077064,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522203209.5175903,-122.3973389,37.7924421,10.8440000
MsgID.LOCAL_VELOCITY,1522203209.5175903,-2.4600000,5.7900000,0.2600000
MsgID.LOCAL_POSITION,1522203209.5544651,-4.2579174,10.1705284,-10.8441916
MsgID.LOCAL_VELOCITY,1522203209.5544651,-2.4661744,5.7847118,0.2589116
MsgID.GLOBAL_POSITION,1522203209.7676821,-122.3973294,37.7924387,10.8830000
MsgID.LOCAL_VELOCITY,1522203209.7676821,-2.1600000,5.0100000,0.3400000
MsgID.LOCAL_POSITION,1522203209.8062809,-4.6334510,11.0158167,-10.8831930
MsgID.LOCAL_VELOCITY,1522203209.8062809,-2.1625721,5.0179753,0.3460929
MsgID.GLOBAL_POSITION,1522203210.0187883,-122.3973106,37.7924335,10.4590000
MsgID.LOCAL_VELOCITY,1522203210.0187883,-1.0900000,4.6500000,1.9400000
MsgID.LOCAL_POSITION,1522203210.0199795,-5.2098742,12.6849079,-10.4591112
MsgID.LOCAL_VELOCITY,1522203210.0199795,-1.0915382,4.6519699,1.9470040
MsgID.GLOBAL_POSITION,1522203210.2677791,-122.3972990,37.7924325,9.9600000
MsgID.LOCAL_VELOCITY,1522203210.2677791,0.1700000,4.5300000,2.0800000
MsgID.LOCAL_POSITION,1522203210.2698035,-5.3266482,13.7193823,-9.9575462
MsgID.LOCAL_VELOCITY,1522203210.2698035,0.1868824,4.5311112,2.0797193
